sum.taxonomy	bio_12S_POOL.ELAS.0132.1.S54.L001	bio_12S_POOL.ELAS.0132.10.S63.L001	bio_12S_POOL.ELAS.0132.11.S64.L001	bio_12S_POOL.ELAS.0132.12.S65.L001	bio_12S_POOL.ELAS.0132.13.S66.L001	bio_12S_POOL.ELAS.0132.14.S67.L001	bio_12S_POOL.ELAS.0132.15.S68.L001	bio_12S_POOL.ELAS.0132.16.S69.L001	bio_12S_POOL.ELAS.0132.17.S70.L001	bio_12S_POOL.ELAS.0132.18.S71.L001	bio_12S_POOL.ELAS.0132.19.S72.L001	bio_12S_POOL.ELAS.0132.2.S55.L001	bio_12S_POOL.ELAS.0132.20.S73.L001	bio_12S_POOL.ELAS.0132.21.S74.L001	bio_12S_POOL.ELAS.0132.22.S75.L001	bio_12S_POOL.ELAS.0132.23.S76.L001	bio_12S_POOL.ELAS.0132.24.S77.L001	bio_12S_POOL.ELAS.0132.25.S78.L001	bio_12S_POOL.ELAS.0132.26.S79.L001	bio_12S_POOL.ELAS.0132.27.S80.L001	bio_12S_POOL.ELAS.0132.28.S81.L001	bio_12S_POOL.ELAS.0132.3.S56.L001	bio_12S_POOL.ELAS.0132.4.S57.L001	bio_12S_POOL.ELAS.0132.5.S58.L001	bio_12S_POOL.ELAS.0132.6.S59.L001	bio_12S_POOL.ELAS.0132.7.S60.L001	bio_12S_POOL.ELAS.0132.8.S61.L001	bio_12S_POOL.ELAS.0132.9.S62.L001	bio_12S_POOL.ELAS.3364.1.S82.L001	bio_12S_POOL.ELAS.3364.10.S91.L001	bio_12S_POOL.ELAS.3364.11.S92.L001	bio_12S_POOL.ELAS.3364.12.S93.L001	bio_12S_POOL.ELAS.3364.13.S94.L001	bio_12S_POOL.ELAS.3364.14.S95.L001	bio_12S_POOL.ELAS.3364.15.S96.L001	bio_12S_POOL.ELAS.3364.16.S97.L001	bio_12S_POOL.ELAS.3364.17.S98.L001	bio_12S_POOL.ELAS.3364.18.S99.L001	bio_12S_POOL.ELAS.3364.19.S100.L001	bio_12S_POOL.ELAS.3364.2.S83.L001	bio_12S_POOL.ELAS.3364.20.S101.L001	bio_12S_POOL.ELAS.3364.21.S102.L001	bio_12S_POOL.ELAS.3364.22.S103.L001	bio_12S_POOL.ELAS.3364.23.S104.L001	bio_12S_POOL.ELAS.3364.24.S105.L001	bio_12S_POOL.ELAS.3364.3.S84.L001	bio_12S_POOL.ELAS.3364.4.S85.L001	bio_12S_POOL.ELAS.3364.5.S86.L001	bio_12S_POOL.ELAS.3364.6.S87.L001	bio_12S_POOL.ELAS.3364.7.S88.L001	bio_12S_POOL.ELAS.3364.8.S89.L001	bio_12S_POOL.ELAS.3364.9.S90.L001	bio_12S_POOL.ELAS.6596.1.S106.L001	bio_12S_POOL.ELAS.6596.10.S115.L001	bio_12S_POOL.ELAS.6596.11.S116.L001	bio_12S_POOL.ELAS.6596.12.S117.L001	bio_12S_POOL.ELAS.6596.13.S118.L001	bio_12S_POOL.ELAS.6596.14.S119.L001	bio_12S_POOL.ELAS.6596.15.S120.L001	bio_12S_POOL.ELAS.6596.16.S121.L001	bio_12S_POOL.ELAS.6596.17.S122.L001	bio_12S_POOL.ELAS.6596.18.S123.L001	bio_12S_POOL.ELAS.6596.19.S124.L001	bio_12S_POOL.ELAS.6596.2.S107.L001	bio_12S_POOL.ELAS.6596.20.S125.L001	bio_12S_POOL.ELAS.6596.21.S126.L001	bio_12S_POOL.ELAS.6596.22.S127.L001	bio_12S_POOL.ELAS.6596.23.S128.L001	bio_12S_POOL.ELAS.6596.24.S129.L001	bio_12S_POOL.ELAS.6596.25.S130.L001	bio_12S_POOL.ELAS.6596.26.S131.L001	bio_12S_POOL.ELAS.6596.27.S132.L001	bio_12S_POOL.ELAS.6596.28.S133.L001	bio_12S_POOL.ELAS.6596.29.S134.L001	bio_12S_POOL.ELAS.6596.3.S108.L001	bio_12S_POOL.ELAS.6596.30.S135.L001	bio_12S_POOL.ELAS.6596.31.S136.L001	bio_12S_POOL.ELAS.6596.32.S137.L001	bio_12S_POOL.ELAS.6596.4.S109.L001	bio_12S_POOL.ELAS.6596.5.S110.L001	bio_12S_POOL.ELAS.6596.6.S111.L001	bio_12S_POOL.ELAS.6596.7.S112.L001	bio_12S_POOL.ELAS.6596.8.S113.L001	bio_12S_POOL.ELAS.6596.9.S114.L001	bio_12S_POOL.ELAS.97123.1.S138.L001	bio_12S_POOL.ELAS.97123.10.S147.L001	bio_12S_POOL.ELAS.97123.11.S148.L001	bio_12S_POOL.ELAS.97123.12.S149.L001	bio_12S_POOL.ELAS.97123.13.S150.L001	bio_12S_POOL.ELAS.97123.14.S151.L001	bio_12S_POOL.ELAS.97123.15.S152.L001	bio_12S_POOL.ELAS.97123.16.S153.L001	bio_12S_POOL.ELAS.97123.17.S154.L001	bio_12S_POOL.ELAS.97123.18.S155.L001	bio_12S_POOL.ELAS.97123.19.S156.L001	bio_12S_POOL.ELAS.97123.2.S139.L001	bio_12S_POOL.ELAS.97123.20.S157.L001	bio_12S_POOL.ELAS.97123.21.S158.L001	bio_12S_POOL.ELAS.97123.22.S159.L001	bio_12S_POOL.ELAS.97123.23.S160.L001	bio_12S_POOL.ELAS.97123.24.S161.L001	bio_12S_POOL.ELAS.97123.25.S162.L001	bio_12S_POOL.ELAS.97123.26.S163.L001	bio_12S_POOL.ELAS.97123.3.S140.L001	bio_12S_POOL.ELAS.97123.4.S141.L001	bio_12S_POOL.ELAS.97123.5.S142.L001	bio_12S_POOL.ELAS.97123.6.S143.L001	bio_12S_POOL.ELAS.97123.7.S144.L001	bio_12S_POOL.ELAS.97123.8.S145.L001	bio_12S_POOL.ELAS.97123.9.S146.L001	bio_12S_SB.Set.1.01.S1.L001	bio_12S_SB.Set.1.02.S2.L001	bio_12S_SB.Set.1.03.S3.L001	bio_12S_SB.Set.1.04.S4.L001	bio_12S_SB.Set.1.05.S5.L001	bio_12S_SB.Set.1.06.S6.L001	bio_12S_SB.Set.1.07.S7.L001	bio_12S_SB.Set.1.08.S8.L001	bio_12S_SB.Set.1.09.S9.L001	bio_12S_SB.Set.1.10.S10.L001	bio_12S_SB.Set.1.11.S11.L001	bio_12S_SB.Set.1.12.S12.L001	bio_12S_SB.Set.1.13.S13.L001	bio_12S_SB.Set.1.14.S14.L001	bio_12S_SB.Set.1.15.S15.L001	bio_12S_SB.Set.1.16.S16.L001	bio_12S_SB.Set.2.01.S17.L001	bio_12S_SB.Set.2.02.S18.L001	bio_12S_SB.Set.2.03.S19.L001	bio_12S_SB.Set.2.04.S20.L001	bio_12S_SB.Set.2.05.S21.L001	bio_12S_SB.Set.2.06.S22.L001	bio_12S_SB.Set.2.07.S23.L001	bio_12S_SB.Set.2.08.S24.L001	bio_12S_SB.Set.2.09.S25.L001	bio_12S_SB.Set.2.10.S26.L001	bio_12S_SB.Set.2.11.S27.L001	bio_12S_SB.Set.2.12.S28.L001	bio_12S_SB.Set.2.13.S29.L001	bio_12S_SB.Set.2.14.S30.L001	bio_12S_SB.Set.2.15.S31.L001	bio_12S_SB.Set.2.16.S32.L001	bio_12S_SB.Set.2.17.S33.L001	bio_12S_SB.Set.2.18.S34.L001	bio_12S_SB.Set.2.19.S35.L001	bio_12S_SB.Set.2.20.S36.L001	bio_12S_SB.Set.2.21.S37.L001	bio_12S_SB.Set.2.22.S38.L001	bio_12S_SB.Set.2.23.S39.L001	bio_12S_SB.Set.2.24.S40.L001	bio_12S_SB.Set.2.25.S41.L001	bio_12S_SB.Set.2.26.S42.L001	bio_12S_SB.Set.2.27.S43.L001	bio_12S_SB.Set.2.28.S44.L001	bio_12S_SB.Set.2.29.S45.L001	bio_12S_SB.Set.2.30.S46.L001	bio_12S_SB.Set.2.31.S47.L001	bio_12S_SB.Set.2.32.S48.L001	bio_12S_SB.Set.2.33.S49.L001	bio_12S_SB.Set.2.34.S50.L001	bio_12S_SB.Set.2.35.S51.L001	bio_12S_SB.Set.2.36.S52.L001	bio_12S_SB.Set.2.37.S53.L001
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus xanthopterus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2459	0	0	0	0	0	0	0	0	0	0	0	235	293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	771	328	0	0	0	0	0	0	0	0	0	1120	0	831	0	0	0	0	0	0	0	0	0	0	576	0	2	0	0	0	0	0	1743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus binotatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	102	0	389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2952	0	0	1	0	0	0	4588	1	0	1	1	25231	0	0	0	0	0	405	0	0	0	0	0	0	2354	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus flavicauda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1042	2425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Ctenochaetus;Ctenochaetus striatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	450	0	0	0	0	0	0	0	0	0	807	0	81	0	0	0	0	0	0	0	0	0	0	0	0	808	0	1	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	258	755	0	0	480	0	0	0	0	0	0	0	49	0	0	0	0	99	0	0	0	0	0	0	0	2286	1	1104	385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	1	696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;NA;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	39	0	0	0	0	0	67	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1434	0	0	1995	309	3569	1128	0	0	340	0	0	906	836	0	2	0	0	0	0	1316	0	0	0	1639	0	205	0	96	561	51	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1276	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso brachycentron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso lituratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	989	0	0	0	0	0	0	0	0	0	0	528	250	1763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	0	274	780	0	0	0	0	0	0	0	0	306	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	921	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso maculatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso thynnoides	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1712	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	1320	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Naso;Naso vlamingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	3628	0	0	0	0	0	0	0	0	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	2462	0	0	0	0	0	0	0	0	0	0	0	409	467	2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Paracanthurus;Paracanthurus hepatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma flavescens	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3056	0	0	0	0	603	0	0	0	511	0	439	0	0	1	0	0	0	686	0	0	0	0	0	0	0	236	1352	0	0	0	0	0	0	0	0	0	0	1653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	5021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	690	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma scopas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Zebrasoma;Zebrasoma velifer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Acanthuriformes;Zanclidae;Zanclus;Zanclus cornutus	0	0	0	0	0	0	3126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	625	0	0	510	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	2	0	0	0	198	682	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6792	155	0	0	0	0	0	0	0	835	0	0	480	0	0	0	0	0	0	835	1	0	0	0	11	0	4643	0	0	0	0	0	0	0	691	1029	0	760	0	196	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anabantiformes;Channidae;Channa;Channa diplogramme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Chlopsidae;Kaupichthys;Kaupichthys hyoproroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Gorgasia;Gorgasia galzini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2307	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Moringuidae;Moringua;Moringua edwardsi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Moringuidae;Moringua;Moringua javanica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Echidna;Echidna nebulosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chordata;Actinopteri;Anguilliformes;Muraenidae;Gymnothorax;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
